label,Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
¢ó,10731,163,289,505,4.1,4.5,1.6,,18.6,0.05,0.49,1,0.5,6.9,2.5,34,15,82,21,252,54,488,698,0.56,21,7.4,0.58,38,178,5.74,0.001153
¢ó,10726,114,243,644,3.3,5.4,2.1,,16.8,,0.42,1.2,0.6,8.2,3.3,45,20,107,27,300,63,592,679,0.47,17,6.6,0.59,40,263,6.65,0.000912
¢ó,10807,74,186,604,5.3,6.2,2.2,0.1,14.2,0.03,0.55,1.2,0.6,7.8,3,42,19,101,26,290,60,565,720,0.4,18,6.8,0.56,26,130,5.18,0.000934
¢ó,10965,143,266,816,,8.4,2.8,0.16,20.6,0.09,0.82,1.3,0.7,10.2,3.8,54,25,135,35,408,83,779,,0.54,13,7.5,0.57,25,94,,0.000697
¢ó,10746,109,248,698,,6.6,2.1,,18.1,0.02,0.35,1.2,0.5,7.3,3.2,45,20,118,32,361,80,687,,0.44,15,8,0.56,52,428,,0.0008
¢ó,10547,114,257,849,3.6,7.8,2.4,,18.6,0.03,0.43,1.2,0.6,9.3,3.7,56,25,144,37,415,92,802,688,0.44,12,7.5,0.58,44,277,7.1,0.000688
¢ó,10544,214,361,623,4.2,5.8,2,,23.8,0.04,0.5,1.3,0.6,7.9,3.1,43,18,100,27,300,68,594,700,0.59,17,7,0.57,48,288,7.61,0.000917
¢ó,10374,115,251,833,3.8,7.8,2.6,,20.4,0.04,0.59,1.4,0.6,10,3.9,55,25,138,36,407,90,789,691,0.46,12,7.4,0.52,34,187,5.72,0.000626
¢ó,10495,203,315,550,3.7,4.8,1.7,,20.3,0.03,0.53,1.4,0.6,7.7,2.8,39,16,87,22,246,53,496,690,0.65,19,6.3,0.57,39,245,6.7,0.00103
¢ó,10876,149,314,799,3.7,7.8,2.6,,20.3,0.03,0.44,1.4,0.7,9.8,3.8,53,23,133,34,389,82,751,690,0.47,14,7.3,0.57,46,333,7.85,0.000712
¢ó,10691,174,311,508,3,4.5,1.6,,18.5,,0.47,1.1,0.5,6.7,2.5,33,15,83,22,253,55,490,671,0.56,21,7.6,0.55,40,210,5.54,0.00108
¢ó,9944,287,398,723,4.8,6.8,2.2,,27.3,0.03,0.85,1.6,0.8,10.2,4,53,22,114,29,304,62,628,711,0.72,14,5.8,0.6,32,143,5.3,0.000835
¢ó,10246,219,363,654,3.4,5.8,2.1,,19.8,0.03,0.62,1.3,0.7,9.1,3.5,47,20,106,26,281,59,573,682,0.6,16,6,0.57,32,162,4.91,0.000874
¢ó,9803,116,236,595,3.7,4.9,1.8,,16.8,0.04,0.45,1.1,0.5,7.3,2.8,39,17,98,25,292,67,568,690,0.49,16,7.6,0.54,37,219,6.29,0.000914
¢ó,10820,193,315,645,3.5,6.2,2.4,,20.4,0.02,0.49,1.5,0.7,9.5,3.9,51,20,108,26,276,57,575,685,0.61,17,5.4,0.55,42,307,7.41,0.000847
¢ó,10946,168,301,757,4.5,7.1,2.5,,19.7,0.03,0.43,1.4,0.7,10,3.9,54,24,129,33,361,79,714,705,0.56,14,6.7,0.54,45,341,8.39,0.00071
¢ó,10635,88,186,617,4.4,4.9,1.9,,16.6,0.02,0.46,1.1,0.5,7.6,3,43,19,103,27,305,68,594,705,0.47,17,7.2,0.56,36,197,6.32,0.000914
¢ó,11173,148,270,559,4.8,5,1.9,,21.1,0.04,0.58,1.4,0.6,7.6,3.1,41,18,91,23,256,53,517,712,0.55,20,6.3,0.58,37,205,6.67,0.001034
