label,Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
B,10480 ,203 ,393 ,2437 ,7.5 ,,,0.66 ,56.3 ,0.89 ,8.9 ,13.0 ,3.3 ,57 ,19 ,215 ,78 ,346 ,76 ,771 ,145 ,1791 ,753 ,0.52 ,4.30 ,3.59 ,0.37 ,6.32 ,21.5 ,-0.69 ,0.000154 
B,10196 ,317 ,423 ,1956 ,3.1 ,,,9.00 ,36.4 ,3.57 ,21.2 ,10.7 ,0.6 ,42 ,15 ,175 ,66 ,295 ,62 ,596 ,109 ,1442 ,674 ,0.75 ,5.21 ,3.41 ,0.08 ,1.72 ,2.0 ,-11.82 ,0.000042 
B,9361 ,218 ,418 ,3622 ,5.6 ,,,0.50 ,47.6 ,0.70 ,8.9 ,14.0 ,2.7 ,69 ,25 ,303 ,115 ,525 ,118 ,1187 ,217 ,2634 ,725 ,0.52 ,2.58 ,3.92 ,0.27 ,5.36 ,19.7 ,-1.77 ,0.000074 
B,8362 ,252 ,615 ,2423 ,4.1 ,,,0.49 ,38.9 ,0.73 ,7.8 ,11.9 ,2.7 ,53 ,18 ,208 ,79 ,354 ,79 ,802 ,152 ,1807 ,697 ,0.41 ,3.45 ,3.86 ,0.33 ,4.96 ,17.5 ,-3.00 ,0.000135 
B,7638 ,354 ,563 ,3667 ,5.0 ,,,0.29 ,67.4 ,0.81 ,11.6 ,19.9 ,4.9 ,84 ,28 ,316 ,117 ,527 ,119 ,1237 ,237 ,2770 ,716 ,0.63 ,2.08 ,3.91 ,0.36 ,5.81 ,23.2 ,-1.40 ,0.000099 
B,8987 ,313 ,465 ,858 ,7.6 ,,,0.16 ,6.3 ,0.16 ,2.1 ,3.7 ,0.2 ,19 ,7 ,80 ,29 ,125 ,25 ,242 ,45 ,585 ,754 ,0.67 ,10.47 ,3.03 ,0.08 ,3.08 ,12.8 ,-2.62 ,0.000098 
B,8505 ,353 ,506 ,1102 ,3.1 ,,,0.02 ,13.5 ,0.08 ,1.3 ,3.1 ,0.4 ,19 ,7 ,93 ,36 ,163 ,36 ,355 ,67 ,795 ,673 ,0.70 ,7.72 ,3.82 ,0.16 ,10.31 ,56.6 ,0.69 ,0.000141 
B,8665 ,381 ,246 ,1139 ,9.7 ,,,0.14 ,77.8 ,0.25 ,3.8 ,7.5 ,1.5 ,26 ,8 ,98 ,37 ,168 ,36 ,337 ,68 ,869 ,777 ,1.55 ,7.61 ,3.42 ,0.33 ,20.31 ,92.3 ,5.42 ,0.000292 
B,8646 ,689 ,524 ,1952 ,7.5 ,,,14.70 ,147.0 ,2.67 ,16.3 ,9.9 ,2.6 ,42 ,14 ,160 ,63 ,287 ,65 ,605 ,123 ,1552 ,752 ,1.31 ,4.43 ,3.78 ,0.39 ,9.02 ,12.8 ,-2.65 ,0.000199 
B,9696 ,413 ,315 ,1511 ,3.3 ,,,0.05 ,68.7 ,0.32 ,4.1 ,9.8 ,1.9 ,39 ,12 ,133 ,50 ,222 ,47 ,429 ,86 ,1103 ,679 ,1.31 ,6.42 ,3.23 ,0.29 ,16.59 ,91.1 ,2.65 ,0.000193 
B,9056 ,291 ,235 ,1204 ,11.7 ,,,0.07 ,71.5 ,0.21 ,3.5 ,5.3 ,1.6 ,26 ,9 ,100 ,40 ,178 ,39 ,370 ,75 ,919 ,796 ,1.24 ,7.52 ,3.70 ,0.42 ,20.61 ,73.2 ,5.02 ,0.000349 
B,9299 ,245 ,216 ,834 ,5.7 ,,,7.38 ,72.5 ,1.97 ,9.1 ,4.9 ,0.8 ,18 ,6 ,72 ,26 ,121 ,27 ,262 ,51 ,680 ,726 ,1.13 ,11.15 ,3.63 ,0.25 ,8.00 ,10.1 ,-4.22 ,0.000304 
B,8593 ,630 ,445 ,2336 ,9.5 ,,,0.00 ,99.4 ,0.82 ,10.9 ,15.8 ,3.0 ,59 ,18 ,200 ,75 ,326 ,73 ,676 ,132 ,1688 ,775 ,1.42 ,3.68 ,3.38 ,0.30 ,9.12 ,30.8 ,1.25 ,0.000130 
B,9099 ,675 ,359 ,1816 ,7.4 ,,,0.16 ,113.0 ,0.46 ,8.5 ,11.2 ,2.9 ,51 ,15 ,169 ,59 ,258 ,54 ,497 ,93 ,1333 ,751 ,1.88 ,5.01 ,2.94 ,0.37 ,13.37 ,41.3 ,1.73 ,0.000206 
B,9536 ,279 ,180 ,1309 ,6.5 ,,,4.60 ,69.0 ,1.31 ,7.8 ,7.9 ,1.9 ,33 ,11 ,119 ,43 ,192 ,39 ,363 ,70 ,962 ,739 ,1.55 ,7.28 ,3.05 ,0.36 ,8.86 ,20.8 ,-1.16 ,0.000278 
B,8551 ,816 ,487 ,1818 ,8.3 ,,,0.07 ,143.0 ,0.50 ,4.1 ,9.2 ,1.8 ,41 ,14 ,162 ,60 ,264 ,57 ,516 ,106 ,1379 ,762 ,1.68 ,4.70 ,3.19 ,0.29 ,34.79 ,180.8 ,7.55 ,0.000159 
B,7590 ,112 ,192 ,1341 ,16.4 ,,,0.31 ,49.5 ,0.38 ,5.0 ,8.7 ,2.6 ,33 ,10 ,112 ,44 ,195 ,41 ,385 ,78 ,965 ,833 ,0.58 ,5.66 ,3.44 ,0.48 ,9.90 ,39.9 ,3.58 ,0.000356 
B,9627 ,279 ,228 ,983 ,5.1 ,,,0.00 ,63.5 ,0.08 ,3.2 ,3.0 ,0.8 ,20 ,7 ,86 ,32 ,146 ,31 ,296 ,58 ,747 ,717 ,1.22 ,9.79 ,3.44 ,0.31 ,19.78 ,43.6 ,1.00 ,0.000318 
B,8773 ,371 ,280 ,1034 ,5.3 ,,,0.20 ,75.6 ,0.19 ,2.1 ,4.6 ,0.9 ,22 ,7 ,85 ,32 ,152 ,34 ,301 ,63 ,779 ,720 ,1.33 ,8.48 ,3.55 ,0.27 ,35.49 ,178.1 ,6.37 ,0.000258 
B,9728 ,466 ,295 ,1628 ,6.3 ,,,2.52 ,96.1 ,1.03 ,11.4 ,11.5 ,2.0 ,40 ,14 ,151 ,53 ,239 ,51 ,478 ,95 ,1245 ,736 ,1.58 ,5.98 ,3.17 ,0.29 ,8.43 ,19.8 ,-1.44 ,0.000178 
B,8194 ,434 ,250 ,1873 ,5.4 ,,,0.07 ,82.0 ,0.82 ,13.0 ,15.6 ,4.2 ,58 ,17 ,176 ,62 ,271 ,54 ,482 ,96 ,1330 ,722 ,1.74 ,4.37 ,2.74 ,0.43 ,6.31 ,17.6 ,-2.26 ,0.000229 
B,9867 ,143 ,136 ,750 ,9.7 ,,,0.00 ,46.0 ,0.04 ,1.5 ,1.5 ,0.4 ,14 ,6 ,64 ,25 ,116 ,25 ,254 ,51 ,604 ,777 ,1.05 ,13.16 ,3.97 ,0.29 ,30.46 ,69.5 ,4.36 ,0.000384 
B,9932 ,211 ,193 ,727 ,8.2 ,,,0.20 ,53.8 ,0.05 ,1.4 ,3.4 ,0.5 ,15 ,5 ,61 ,24 ,110 ,24 ,227 ,46 ,571 ,761 ,1.09 ,13.66 ,3.70 ,0.23 ,37.62 ,205.3 ,8.01 ,0.000323 
B,7815 ,264 ,157 ,1033 ,13.9 ,,,0.08 ,64.1 ,0.28 ,4.8 ,6.6 ,2.1 ,25 ,8 ,92 ,33 ,155 ,33 ,316 ,64 ,803 ,815 ,1.68 ,7.57 ,3.45 ,0.51 ,13.38 ,43.1 ,3.46 ,0.000490 
B,,416 ,1438 ,1613 ,1.8 ,,,0.15 ,16.1 ,0.12 ,1.3 ,4.3 ,0.1 ,26 ,11 ,147 ,56 ,250 ,62 ,718 ,126 ,1418 ,632 ,0.29 ,0.00 ,4.88 ,0.02 ,12.01 ,90.2 ,1.11 ,0.000014 
B,,494 ,742 ,3179 ,3.3 ,,,0.07 ,31.5 ,0.53 ,11.0 ,22.2 ,1.2 ,97 ,32 ,355 ,118 ,462 ,106 ,1110 ,189 ,2535 ,679 ,0.67 ,0.00 ,3.13 ,0.08 ,2.86 ,13.5 ,-4.52 ,0.000025 
B,,402 ,801 ,2373 ,2.0 ,,,17.30 ,40.6 ,3.15 ,17.6 ,14.4 ,0.3 ,63 ,22 ,255 ,88 ,356 ,82 ,850 ,149 ,1958 ,639 ,0.50 ,0.00 ,3.33 ,0.03 ,2.31 ,4.4 ,-9.99 ,0.000011 
B,,310 ,988 ,1737 ,2.6 ,,,3.86 ,26.2 ,1.15 ,6.6 ,5.6 ,0.1 ,28 ,12 ,157 ,61 ,276 ,70 ,809 ,144 ,1600 ,659 ,0.31 ,0.00 ,5.15 ,0.03 ,3.95 ,7.8 ,-7.23 ,0.000018 
B,,657 ,1600 ,2525 ,1.5 ,,,0.31 ,21.1 ,0.24 ,3.5 ,9.2 ,0.1 ,51 ,21 ,254 ,91 ,390 ,91 ,998 ,173 ,2103 ,620 ,0.41 ,0.00 ,3.93 ,0.02 ,6.03 ,36.8 ,-2.68 ,0.000007 
B,,84 ,157 ,1130 ,5.9 ,,,0.09 ,7.4 ,0.28 ,4.7 ,9.0 ,0.9 ,37 ,12 ,129 ,43 ,167 ,38 ,401 ,70 ,918 ,729 ,0.53 ,0.00 ,3.11 ,0.15 ,1.55 ,6.9 ,-5.58 ,0.000137 
B,,558 ,1284 ,1880 ,2.3 ,,,3.33 ,29.9 ,1.38 ,10.0 ,9.3 ,0.1 ,42 ,16 ,194 ,69 ,284 ,68 ,740 ,124 ,1591 ,650 ,0.43 ,0.00 ,3.81 ,0.02 ,2.99 ,6.5 ,-8.18 ,0.000011 
B,,517 ,1270 ,1465 ,2.1 ,,,0.03 ,15.8 ,0.07 ,1.8 ,5.3 ,0.1 ,29 ,12 ,147 ,53 ,224 ,55 ,596 ,102 ,1240 ,642 ,0.41 ,0.00 ,4.05 ,0.02 ,8.83 ,61.3 ,0.01 ,0.000013 
B,,397 ,982 ,1921 ,1.8 ,,,10.90 ,39.8 ,4.45 ,22.1 ,11.7 ,0.2 ,45 ,16 ,199 ,71 ,296 ,71 ,771 ,133 ,1691 ,630 ,0.40 ,0.00 ,3.87 ,0.03 ,1.80 ,2.2 ,-12.86 ,0.000013 
B,,476 ,1393 ,1794 ,1.4 ,,,0.06 ,18.9 ,0.07 ,1.6 ,5.6 ,0.1 ,34 ,14 ,175 ,65 ,282 ,68 ,738 ,127 ,1529 ,612 ,0.34 ,0.00 ,4.22 ,0.01 ,11.60 ,92.3 ,0.49 ,0.000007 
B,,89 ,251 ,646 ,5.2 ,,,1.60 ,12.5 ,0.53 ,3.5 ,3.7 ,0.1 ,15 ,5 ,67 ,24 ,99 ,24 ,261 ,46 ,564 ,718 ,0.35 ,0.00 ,3.90 ,0.05 ,3.54 ,8.6 ,-5.08 ,0.000076 
B,,389 ,631 ,1960 ,3.2 ,,,0.02 ,22.1 ,0.26 ,5.9 ,12.3 ,0.5 ,58 ,20 ,222 ,75 ,293 ,66 ,685 ,119 ,1579 ,677 ,0.62 ,0.00 ,3.09 ,0.06 ,3.76 ,18.3 ,-3.43 ,0.000030 
B,,431 ,1269 ,1884 ,2.0 ,,,1.03 ,20.2 ,0.49 ,4.3 ,6.2 ,0.1 ,35 ,14 ,181 ,68 ,294 ,72 ,794 ,140 ,1630 ,639 ,0.34 ,0.00 ,4.39 ,0.01 ,4.73 ,16.0 ,-5.14 ,0.000006 
B,,292 ,502 ,1618 ,5.9 ,,,0.05 ,26.0 ,0.14 ,3.3 ,7.6 ,0.6 ,38 ,14 ,165 ,60 ,250 ,59 ,645 ,117 ,1385 ,730 ,0.58 ,0.00 ,3.91 ,0.11 ,8.00 ,43.4 ,1.33 ,0.000069 
B,,87 ,185 ,969 ,6.7 ,,,0.03 ,9.0 ,0.10 ,2.7 ,5.8 ,0.5 ,26 ,9 ,102 ,36 ,147 ,34 ,369 ,68 ,808 ,742 ,0.47 ,0.00 ,3.62 ,0.13 ,3.37 ,17.1 ,-1.83 ,0.000132 
B,,142 ,310 ,1135 ,5.7 ,,,0.91 ,16.1 ,0.36 ,3.9 ,5.8 ,0.7 ,27 ,10 ,116 ,42 ,179 ,42 ,478 ,87 ,1009 ,727 ,0.46 ,0.00 ,4.12 ,0.17 ,4.14 ,14.3 ,-2.91 ,0.000146 
B,,156 ,226 ,1145 ,9.5 ,,,6.07 ,22.1 ,1.93 ,14.1 ,8.7 ,1.3 ,32 ,11 ,120 ,42 ,172 ,40 ,434 ,80 ,985 ,775 ,0.69 ,0.00 ,3.62 ,0.24 ,1.57 ,2.3 ,-8.59 ,0.000210 
B,,445 ,1169 ,1685 ,7.2 ,,,2.25 ,23.1 ,0.71 ,5.0 ,6.6 ,0.1 ,33 ,13 ,166 ,61 ,264 ,63 ,665 ,122 ,1425 ,749 ,0.38 ,0.00 ,4.01 ,0.03 ,4.67 ,14.5 ,-2.26 ,0.000017 
B,,102 ,289 ,882 ,3.7 ,,,2.85 ,16.1 ,1.28 ,6.1 ,4.2 ,0.2 ,19 ,7 ,86 ,32 ,137 ,33 ,369 ,68 ,784 ,688 ,0.35 ,0.00 ,4.28 ,0.06 ,2.65 ,4.2 ,-8.59 ,0.000066 
B,,79 ,184 ,934 ,6.5 ,,,0.05 ,9.4 ,0.12 ,2.5 ,5.8 ,0.7 ,24 ,8 ,96 ,34 ,141 ,34 ,377 ,70 ,803 ,739 ,0.43 ,0.00 ,3.91 ,0.18 ,3.71 ,19.7 ,-1.37 ,0.000188 
B,,414 ,695 ,2758 ,2.6 ,,,9.67 ,37.8 ,2.91 ,22.0 ,20.3 ,1.2 ,78 ,27 ,306 ,104 ,415 ,94 ,972 ,174 ,2264 ,662 ,0.60 ,0.00 ,3.18 ,0.09 ,1.72 ,3.7 ,-9.93 ,0.000034 
B,,98 ,141 ,1253 ,7.0 ,,,0.03 ,8.0 ,0.29 ,6.3 ,10.9 ,1.8 ,43 ,14 ,146 ,48 ,184 ,41 ,429 ,77 ,1009 ,746 ,0.69 ,0.00 ,2.93 ,0.26 ,1.26 ,5.0 ,-6.32 ,0.000205 
B,10416 ,300 ,463 ,,3.0 ,,,0.77 ,33.7 ,1.60 ,13.0 ,8.3 ,0.8 ,17 ,4 ,41 ,13 ,59 ,14 ,160 ,34 ,401 ,671 ,0.65 ,,3.95 ,0.21 ,2.59 ,3.8 ,-9.49 ,
B,10258 ,572 ,422 ,,4.1 ,,,0.23 ,126.9 ,0.46 ,8.4 ,17.6 ,1.8 ,80 ,22 ,215 ,70 ,263 ,50 ,425 ,72 ,1352 ,698 ,1.36 ,,1.98 ,0.15 ,15.09 ,73.5 ,2.43 ,
B,10210 ,363 ,573 ,,3.9 ,,,2.19 ,37.2 ,2.23 ,16.7 ,9.1 ,0.8 ,19 ,5 ,52 ,18 ,85 ,21 ,231 ,48 ,547 ,693 ,0.63 ,,4.49 ,0.19 ,2.23 ,2.8 ,-9.96 ,
B,10310 ,489 ,383 ,,3.4 ,,,1.18 ,74.6 ,1.34 ,12.3 ,10.2 ,1.1 ,33 ,9 ,81 ,26 ,104 ,22 ,208 ,39 ,624 ,683 ,1.28 ,,2.56 ,0.17 ,6.07 ,11.7 ,-4.93 ,
B,10869 ,227 ,490 ,,2.0 ,,,0.20 ,28.6 ,0.47 ,3.1 ,2.3 ,0.2 ,8 ,2 ,29 ,12 ,63 ,18 ,215 ,46 ,428 ,639 ,0.46 ,,7.52 ,0.17 ,9.38 ,16.1 ,-5.11 ,
B,10044 ,150 ,285 ,,3.1 ,,,0.22 ,28.4 ,0.12 ,1.6 ,2.7 ,0.3 ,12 ,3 ,39 ,15 ,67 ,17 ,178 ,35 ,399 ,674 ,0.53 ,,4.56 ,0.15 ,17.42 ,66.7 ,1.34 ,
B,9328 ,231 ,302 ,,7.6 ,,,0.58 ,39.2 ,0.37 ,4.4 ,4.3 ,0.5 ,14 ,4 ,41 ,15 ,69 ,16 ,172 ,35 ,415 ,754 ,0.76 ,,4.24 ,0.18 ,8.89 ,20.0 ,-0.93 ,
